name,price,review,revenue,weekly_price,monthly_price,img
국산 스텐 304 스텐 숟가락 10인세트,12900,4.5,645,90300,387000,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/images/2018/05/18/16/0/5635d76e-ef70-47c3-b843-d0dbae9c7ffe.jpg
"심플라인 성인수저세트, 4세트, 숟가락 + 젓가락",8500,5.0,425,59500,255000,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/342625273164496-672f8c55-1b32-488e-9e7f-c4964344dfad.jpg
"보네르 수저 2인 세트 화이트 + 그레이, 1세트, 숟가락 2p + 젓가락 2p",9900,4.5,495,69300,297000,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/426566719981948-d95fcd3a-aa79-47ac-91c3-3a205181469c.jpg
"심플라인 성인수저세트, 2세트, 숟가락 + 젓가락",7390,5.0,370,51730,221700,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/342697970891783-803b66df-0c73-4d5c-9cfd-e450d8c4f480.jpg
"[이신공방] 국산 이신 달수저 4인세트 (케이스포함) / 고급옻칠 나무 수저세트, 달수저 본 4세트",50490,4.5,2525,353430,1514700,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/6a19/fdb31de038ecfb29dfc93203899a591b227ae12bf8aff1ec6ad19a11ca69.jpg
"디리테일 304 스텐 수저세트 휴대용 도시락 커트러리 고급 우드 초등 수저 세트, 휴대용 수저세트 B, 블루",11800,4.0,590,82600,354000,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/189b/88816657b79722fb826b389fe850bac91f66e1d407d11488e871de789bf4.jpg
"ABM 민자 수저세트, 10세트, 숟가락 + 젓가락",14050,5.0,703,98350,421500,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/hfybivwc/2954c9e14e30419da12004cd9a433d9a.jpg
"블룸엣홈 초이스 샌딩 수저 5벌 세트 벌크, 1세트, 숟가락 5p + 젓가락 5p",14220,4.5,711,99540,426600,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/07/01/18/2/47a2d0b5-897d-4252-ba26-35224aea8aae.jpg
"[이신공방] 국산 옻칠수저 2인세트 (케이스포함) / 고급옻칠 나무 수저세트, 옻칠수저 본 2세트",28050,4.5,1403,196350,841500,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/a08e/978efa14c11e492a2ac737b895c4cabaee991a6f1d3000289661e0088ef1.jpg
"ZEN 1인조 수저세트, 1세트, 숟가락 + 젓가락",3470,5.0,174,24290,104100,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2017/12/13/15/1/10a67262-55a7-4d93-8f0b-d1150fcbba9a.jpg
